-0.175062	-0.607499	0.2818	0.785923	4	0.897529
-0.543377	-0.607499	0.295773	0.710793	4	0.984097
-0.369368	-0.9081	0.541469	0.535009	4	0.873993
-0.369368	-0.9081	0.545667	0.539156	4	0.873993
-0.199507	-0.292882	0.301248	0.547529	4	0.976927
-0.104638	-0.225897	0.941409	0.754624	4	0.97014
-0.0631316	-0.426205	1.07263	1.39958	4	0.913229
-0.309986	-0.844142	0.446417	0.473512	4	0.874993
-0.0132582	-0.126583	0.806302	0.857262	4	0.972066
-0.113416	-0.126583	0.771623	0.913827	4	0.996714
-0.0361172	-0.169118	0.0606772	0.429415	4	0.967296
-0.169118	-0.505659	0.454351	0.0606772	4	0.919307
-0.40562	-0.80281	0.271271	0.271147	4	0.905473
-0.044837	-0.804605	0.481964	0.310688	4	0.827007
