0	0	1	
0	0.00922406	0.903958	
0.00922406	0	0.903958	
0	0.0178628	0.866348	
0.00841758	0.00841758	0.816505	
0.0178628	0	0.866348	
0	0.0261925	0.838159	
0.00814681	0.0162936	0.782094	
0.0162936	0.00814681	0.782094	
0.0261925	0	0.838159	
0	0.0343065	0.81478	
0.00796045	0.0238813	0.756243	
0.0157658	0.0157658	0.748876	
0.0238813	0.00796045	0.756243	
0.0343065	0	0.81478	
0	0.0422572	0.794435	
0.00781664	0.0312666	0.734765	
0.0154021	0.0231031	0.723898	
0.0231031	0.0154021	0.723898	
0.0312666	0.00781664	0.734765	
0.0422572	0	0.794435	
0	0.0500786	0.776218	
0.00769943	0.0384971	0.716047	
0.0151211	0.0302421	0.70313	
0.0225664	0.0225664	0.699558	
0.0302421	0.0151211	0.70313	
0.0384971	0.00769943	0.716047	
0.0500786	0	0.776218	
0	0.0577952	0.759594	
0.00760072	0.0456043	0.699266	
0.0148917	0.0372293	0.685019	
0.0221514	0.0295352	0.679309	
0.0295352	0.0221514	0.679309	
0.0372293	0.0148917	0.685019	
0.0456043	0.00760072	0.699266	
0.0577952	0	0.759594	
0	0.0654256	0.744216	
0.00751579	0.0526105	0.683937	
0.0146984	0.0440951	0.668775	
0.0218124	0.036354	0.661643	
0.0289882	0.0289882	0.659482	
0.036354	0.0218124	0.661643	
0.0440951	0.0146984	0.668775	
0.0526105	0.00751579	0.683937	
0.0654256	0	0.744216	
0	0.0729844	0.729844	
0.00744158	0.0595326	0.669742	
0.0145317	0.0508611	0.653928	
0.0215263	0.0430527	0.64579	
0.0285412	0.0356765	0.642176	
0.0356765	0.0285412	0.642176	
0.0430527	0.0215263	0.64579	
0.0508611	0.0145317	0.653928	
0.0595326	0.00744158	0.669742	
0.0729844	0	0.729844	
0	0.0804836	0.716304	
0.00737601	0.0663841	0.656465	
0.014386	0.0575439	0.640175	
0.0212796	0.0496525	0.631296	
0.0281637	0.0422456	0.626642	
0.0351225	0.0351225	0.62518	
0.0422456	0.0281637	0.626642	
0.0496525	0.0212796	0.631296	
0.0575439	0.014386	0.640175	
0.0663841	0.00737601	0.656465	
0.0804836	0	0.716304	
0	0.0879331	0.703465	
0.00731758	0.0731758	0.643947	
0.014257	0.0641563	0.627306	
0.0210636	0.0561696	0.617866	
0.027838	0.0487164	0.612435	
0.0346544	0.0415853	0.609918	
0.0415853	0.0346544	0.609918	
0.0487164	0.027838	0.612435	
0.0561696	0.0210636	0.617866	
0.0641563	0.014257	0.627306	
0.0731758	0.00731758	0.643947	
0.0879331	0	0.703465	
0	0.0953415	0.691226	
0.00726516	0.0799167	0.632069	
0.0141418	0.0707091	0.615169	
0.0208722	0.0626167	0.605295	
0.0275525	0.0551049	0.599266	
0.0342503	0.0479505	0.595956	
0.0410273	0.0410273	0.594896	
0.0479505	0.0342503	0.595956	
0.0551049	0.0275525	0.599266	
0.0626167	0.0208722	0.605295	
0.0707091	0.0141418	0.615169	
0.0799167	0.00726516	0.632069	
0.0953415	0	0.691226	
0	0.102716	0.679506	
0.00721789	0.0866146	0.620738	
0.0140383	0.0772108	0.603648	
0.0207012	0.069004	0.593435	
0.0272994	0.0614236	0.586937	
0.033896	0.0542335	0.583011	
